|Title|Artist
708|Roll With It|Steve Winwood
709|Monkey|George Michael
710|Sweet Child o' Mine|Guns N' Roses
711|Don't Worry, Be Happy|Bobby McFerrin
712|Love Bites|Def Leppard
713|Red Red Wine|UB40
714|A Groovy Kind of Love|Phil Collins
715|Kokomo|The Beach Boys
716|Wild, Wild West|The Escape Club
717|Bad Medicine|Bon Jovi
718|Baby, I Love Your Way/Freebird Medley|Will to Power
719|Look Away|Chicago
720|Every Rose Has Its Thorn|Poison
721|Every Rose Has Its Thorn|Poison
722|My Prerogative|Bobby Brown
723|Two Hearts|Phil Collins
724|When I'm with You|Sheriff
725|Straight Up|Paula Abdul
726|Lost in Your Eyes|Debbie Gibson
727|The Living Years|Mike + the Mechanics
728|Eternal Flame|The Bangles
729|The Look|Roxette
730|She Drives Me Crazy|Fine Young Cannibals
731|Like a Prayer|Madonna
732|I'll Be There for You|Bon Jovi
733|Forever Your Girl|Paula Abdul
734|Rock On|Michael Damian
735|Wind Beneath My Wings|Bette Midler
736|I'll Be Loving You (Forever)|New Kids on the Block
737|Satisfied|Richard Marx
738|Baby Don't Forget My Number|Milli Vanilli
739|Good Thing|Fine Young Cannibals
740|If You Don't Know Me by Now|Simply Red
741|Toy Soldiers|Martika
742|Batdance|Prince
743|Right Here Waiting|Richard Marx
744|Cold Hearted|Paula Abdul
745|Hangin' Tough|New Kids on the Block
746|Don't Wanna Lose You|Gloria Estefan
747|Girl I'm Gonna Miss You|Milli Vanilli
748|Miss You Much|Janet Jackson
749|Listen to Your Heart|Roxette
750|When I See You Smile|Bad English
751|Blame It on the Rain|Milli Vanilli
752|We Didn't Start the Fire|Billy Joel
753|Another Day in Paradise|Phil Collins
754|Another Day in Paradise|Phil Collins
755|How Am I Supposed to Live Without You|Michael Bolton
756|Opposites Attract|Paula Abdul with The Wild Pair
757|Escapade|Janet Jackson
758|Black Velvet|Alannah Myles
759|Love Will Lead You Back|Taylor Dayne
760|I'll Be Your Everything|Tommy Page
761|Nothing Compares 2 U|Sinéad O'Connor
762|Vogue|Madonna
763|Hold On|Wilson Phillips
764|It Must Have Been Love|Roxette
765|Step by Step|New Kids on the Block
766|She Ain't Worth It|Glenn Medeiros featuring Bobby Brown
767|Vision of Love|Mariah Carey
768|If Wishes Came True|Sweet Sensation
769|Blaze of Glory|Jon Bon Jovi
770|Release Me|Wilson Phillips
771|(Can't Live Without Your) Love and Affection|Nelson
772|Close to You|Maxi Priest
773|Praying for Time|George Michael
774|I Don't Have the Heart|James Ingram
775|Black Cat|Janet Jackson
776|Ice Ice Baby|Vanilla Ice
777|Love Takes Time|Mariah Carey
778|I'm Your Baby Tonight|Whitney Houston
779|Because I Love You (The Postman Song)|Stevie B
780|Justify My Love|Madonna
781|Love Will Never Do (Without You)|Janet Jackson
782|The First Time|Surface
783|Gonna Make You Sweat (Everybody Dance Now)|C+C Music Factory featuring Freedom Williams
784|All the Man That I Need|Whitney Houston
785|Someday|Mariah Carey
786|One More Try|Timmy T
787|Coming Out of the Dark|Gloria Estefan
788|I've Been Thinking About You|Londonbeat
789|You're in Love|Wilson Phillips
790|Baby Baby|Amy Grant
791|Joyride|Roxette
792|I Like the Way (The Kissing Game)|Hi-Five
793|I Don't Wanna Cry|Mariah Carey
794|More Than Words|Extreme
795|Rush Rush|Paula Abdul
796|Unbelievable|EMF
797|(Everything I Do) I Do It for You|Bryan Adams
798|The Promise of a New Day|Paula Abdul
799|I Adore Mi Amor|Color Me Badd
800|Good Vibrations|Marky Mark and the Funky Bunch featuring Loleatta Holloway
801|Emotions|Mariah Carey
802|Romantic|Karyn White
803|Cream|Prince and the New Power Generation
804|When a Man Loves a Woman|Michael Bolton
805|Set Adrift on Memory Bliss|P.M. Dawn
806|Black or White|Michael Jackson
807|Black or White|Michael Jackson
808|All 4 Love|Color Me Badd
809|Don't Let the Sun Go Down on Me|George Michael and Elton John
810|I'm Too Sexy|Right Said Fred
811|To Be with You|Mr. Big
812|Save the Best for Last|Vanessa Williams
813|Jump|Kris Kross
814|I'll Be There|Mariah Carey
815|Baby Got Back|Sir Mix-a-Lot
816|This Used to Be My Playground|Madonna
817|End of the Road|Boyz II Men
818|How Do You Talk to an Angel|The Heights
819|I Will Always Love You|Whitney Houston
820|I Will Always Love You|Whitney Houston
821|A Whole New World|Peabo Bryson and Regina Belle
822|Informer|Snow
823|Freak Me|Silk
824|That's the Way Love Goes|Janet Jackson
825|Weak|SWV
826|Can't Help Falling in Love|UB40
827|Dreamlover|Mariah Carey
828|I'd Do Anything for Love (But I Won't Do That)|Meat Loaf
829|Again|Janet Jackson
830|Hero|Mariah Carey
831|Hero|Mariah Carey
832|All for Love|Bryan Adams / Rod Stewart / Sting
833|The Power of Love|Céline Dion
834|The Sign|Ace of Base
835|Bump n' Grind|R. Kelly
836|The Sign|Ace of Base
837|I Swear|All-4-One
838|Stay (I Missed You)|Lisa Loeb & Nine Stories
839|I'll Make Love to You|Boyz II Men
840|On Bended Knee|[49]
841|Here Comes the Hotstepper|Ini Kamoze
842|On Bended Knee|Boyz II Men
843|On Bended Knee|Boyz II Men
844|Creep|TLC
845|Take a Bow|Madonna
846|This Is How We Do It|Montell Jordan
847|Have You Ever Really Loved a Woman?|Bryan Adams
848|Waterfalls|TLC
849|Kiss from a Rose|Seal
850|You Are Not Alone|Michael Jackson
851|Gangsta's Paradise|Coolio featuring L.V.
852|Fantasy|Mariah Carey
853|Exhale (Shoop Shoop)|Whitney Houston
854|One Sweet Day|Mariah Carey and Boyz II Men
855|One Sweet Day|Mariah Carey and Boyz II Men
856|Because You Loved Me|Céline Dion
857|Always Be My Baby|Mariah Carey
858|Tha Crossroads|Bone Thugs-n-Harmony
859|How Do U Want It / California Love|2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman
860|You're Makin' Me High / Let It Flow|Toni Braxton
861|Macarena (Bayside Boys Mix)|Los del Río
862|No Diggity|Blackstreet featuring Dr. Dre
863|Un-Break My Heart|Toni Braxton
864|Un-Break My Heart|Toni Braxton
865|Wannabe|Spice Girls
866|Can't Nobody Hold Me Down|Puff Daddy featuring Mase
867|Hypnotize|The Notorious B.I.G.
868|MMMBop|Hanson
869|I'll Be Missing You|Puff Daddy and Faith Evans featuring 112
870|Mo Money Mo Problems|The Notorious B.I.G. featuring Puff Daddy and Mase
871|Honey|Mariah Carey
872|4 Seasons of Loneliness|Boyz II Men
873|Candle in the Wind 1997 /Something About the Way You Look Tonight|Elton John
874|Candle in the Wind 1997 / Something About the Way You Look Tonight|Elton John
875|Truly Madly Deeply|Savage Garden
876|Together Again|Janet
877|Nice & Slow|Usher
878|My Heart Will Go On|Céline Dion
879|Gettin' Jiggy wit It”|Will Smith
880|All My Life|K-Ci & JoJo
881|Too Close|Next
882|My All|Mariah Carey
883|Too Close|Next
884|The Boy Is Mine|Brandy and Monica
885|I Don't Want to Miss a Thing|Aerosmith
886|The First Night|Monica
887|One Week|Barenaked Ladies
888|The First Night|Monica
889|Doo Wop (That Thing)|Lauryn Hill
890|Lately|Divine
891|I'm Your Angel|R. Kelly and Céline Dion
892|I'm Your Angel|R. Kelly and Céline Dion
893|Have You Ever?|Brandy
894|...Baby One More Time|Britney Spears
895|Angel of Mine|Monica
896|Believe|Cher
897|No Scrubs|TLC
898|Livin' la Vida Loca|Ricky Martin
899|If You Had My Love|Jennifer Lopez
900|Bills, Bills, Bills|Destiny's Child
901|Wild Wild West|Will Smith featuring Dru Hill and Kool Moe Dee
902|Genie in a Bottle|Christina Aguilera
903|Bailamos|Enrique Iglesias
904|Unpretty|TLC
905|Heartbreaker|Mariah Carey featuring Jay-Z
906|Smooth|Santana featuring Rob Thomas
907|Smooth|Santana featuring Rob Thomas
908|What a Girl Wants|Christina Aguilera
909|I Knew I Loved You|Savage Garden
910|Thank God I Found You|Mariah Carey featuring Joe and 98 Degrees
911|I Knew I Loved You|Savage Garden
912|Amazed|Lonestar
913|Say My Name|Destiny's Child
914|Maria Maria|Santana featuring The Product G&B
915|Try Again|Aaliyah
916|Be with You|Enrique Iglesias
917|Everything You Want|Vertical Horizon
918|Bent|Matchbox Twenty
919|It's Gonna Be Me|NSYNC
920|Incomplete|Sisqó
921|Doesn't Really Matter|Janet
922|Music|Madonna
923|Come On Over Baby (All I Want Is You)|Christina Aguilera
924|With Arms Wide Open|Creed
925|Independent Women|Destiny's Child
926|Independent Women|Destiny's Child
927|It Wasn't Me|"Shaggy featuring Ricardo ""RikRok"" Ducent"
928|Ms. Jackson|OutKast
929|Stutter|Joe featuring Mystikal
930|Butterfly|Crazy Town
931|Angel|Shaggy featuring Rayvon
932|Butterfly|Crazy Town
933|All for You|Janet Jackson
934|Lady Marmalade|Christina Aguilera, Lil' Kim, Mýa and Pink
935|U Remind Me|Usher
936|Bootylicious|Destiny's Child
937|Fallin'|Alicia Keys
938|I'm Real (Murder Remix)|Jennifer Lopez featuring Ja Rule
939|Fallin'|Alicia Keys
940|I'm Real (Murder Remix)|Jennifer Lopez featuring Ja Rule
941|Family Affair|Mary J. Blige
942|U Got It Bad|Usher
943|How You Remind Me|Nickelback
944|How You Remind Me|Nickelback
945|U Got It Bad|Usher
946|Always on Time|Ja Rule featuring Ashanti
947|Ain't It Funny (Murder Remix)|Jennifer Lopez featuring Ja Rule
948|Foolish|Ashanti
949|Hot in Herre|Nelly
950|Dilemma|Nelly featuring Kelly Rowland
951|A Moment Like This|Kelly Clarkson
952|Dilemma|Nelly featuring Kelly Rowland
953|Lose Yourself|Eminem
954|Lose Yourself|Eminem
955|Bump, Bump, Bump|B2K featuring P. Diddy
956|All I Have|Jennifer Lopez featuring LL Cool J
957|In da Club|50 Cent
958|Get Busy|Sean Paul
959|21 Questions|50 Cent featuring Nate Dogg
960|This Is the Night|Clay Aiken
961|Crazy in Love|Beyoncé featuring Jay-Z
962|Shake Ya Tailfeather|Nelly, P. Diddy and Murphy Lee
963|Baby Boy|Beyoncé featuring Sean Paul
964|Stand Up|Ludacris featuring Shawnna
965|Hey Ya!|OutKast
966|Hey Ya!|OutKast
967|The Way You Move|OutKast featuring Sleepy Brown
968|Slow Jamz|Twista featuring Kanye West and Jamie Foxx
969|Yeah!|Usher featuring Lil Jon and Ludacris
970|Burn|Usher
971|I Believe|Fantasia
972|Burn|Usher
973|Confessions Part II|[68][69]
974|Slow Motion|Juvenile featuring Soulja Slim
975|Lean Back|Terror Squad
976|Goodies|Ciara featuring Petey Pablo
977|My Boo|Usher and Alicia Keys
978|Drop It Like It's Hot|Snoop Dogg featuring Pharrell
979|Let Me Love You|Mario
980|Candy Shop|50 Cent featuring Olivia
981|Hollaback Girl|Gwen Stefani
982|We Belong Together|Mariah Carey
983|Inside Your Heaven|Carrie Underwood
984|We Belong Together|Mariah Carey
985|Gold Digger|Kanye West featuring Jamie Foxx
986|Run It!|Chris Brown
987|Don't Forget About Us|Mariah Carey
988|Don't Forget About Us|Mariah Carey
989|Laffy Taffy|D4L
990|Grillz|Nelly featuring Paul Wall, Ali & Gipp
991|Check on It|Beyoncé featuring Slim Thug
992|You're Beautiful|James Blunt
993|So Sick|Ne-Yo
994|Temperature|Sean Paul
995|Bad Day|Daniel Powter
996|SOS|Rihanna
997|Ridin'|Chamillionaire featuring Krayzie Bone
998|Hips Don't Lie|Shakira featuring Wyclef Jean
999|Do I Make You Proud|Taylor Hicks
1000|Promiscuous|Nelly Furtado featuring Timbaland
1001|London Bridge|Fergie
1002|SexyBack|Justin Timberlake
1003|Money Maker|Ludacris featuring Pharrell
1004|My Love|Justin Timberlake featuring T.I.
1005|I Wanna Love You|Akon featuring Snoop Dogg
1006|Irreplaceable|Beyoncé
1007|Irreplaceable|Beyoncé
1008|Say It Right|Nelly Furtado
1009|What Goes Around...Comes Around|Justin Timberlake
1010|This Is Why I'm Hot|Mims
1011|Glamorous|Fergie featuring Ludacris
1012|Don't Matter|Akon
1013|Give It to Me|Timbaland featuringNelly Furtado and Justin Timberlake
1014|Girlfriend|Avril Lavigne
1015|Makes Me Wonder|Maroon 5
1016|Buy U a Drank (Shawty Snappin')|T-Pain featuring Yung Joc
1017|Makes Me Wonder|Maroon 5
1018|Umbrella|Rihanna featuring Jay-Z
1019|Hey There Delilah|Plain White T's
1020|Beautiful Girls|Sean Kingston
1021|Big Girls Don't Cry|Fergie
1022|Crank That (Soulja Boy)|Soulja Boy Tell 'Em
1023|Stronger|Kanye West
1024|Crank That (Soulja Boy)|Soulja Boy Tell 'Em
1025|Kiss Kiss|Chris Brown featuring T-Pain
1026|No One|Alicia Keys
1027|Low|Flo Rida featuring T-Pain
1028|Love in This Club|Usher featuring Young Jeezy
1029|Bleeding Love|Leona Lewis
1030|Touch My Body|Mariah Carey
1031|Bleeding Love|Leona Lewis
1032|Lollipop|Lil Wayne featuring Static Major
1033|Bleeding Love|Leona Lewis
1034|Take a Bow|Rihanna
1035|Lollipop|Lil Wayne featuring Static Major
1036|Viva la Vida|Coldplay
1037|I Kissed a Girl|Katy Perry
1038|Disturbia|Rihanna
1039|Whatever You Like|T.I.
1040|So What|Pink
1041|Whatever You Like|T.I.
1042|Live Your Life|T.I. featuring Rihanna
1043|Womanizer|Britney Spears
1044|Whatever You Like|T.I.
1045|Live Your Life|T.I. featuring Rihanna
1046|Single Ladies (Put a Ring on It)|Beyoncé
1047|Live Your Life|T.I. featuring Rihanna
1048|Single Ladies (Put a Ring on It)|Beyoncé
1049|Single Ladies (Put a Ring on It)|Beyoncé
1050|Just Dance|Lady Gaga featuring Colby O'Donis
1051|My Life Would Suck Without You|Kelly Clarkson
1052|Crack a Bottle|Eminem, Dr. Dre and 50 Cent
1053|Right Round|Flo Rida
1054|Poker Face|Lady Gaga
1055|Boom Boom Pow|The Black Eyed Peas
1056|I Gotta Feeling|[62][63]
1057|Down|Jay Sean featuring Lil Wayne
1058|3|Britney Spears
1059|Down|Jay Sean featuring Lil Wayne
1060|Fireflies|Owl City
1061|Whatcha Say|Jason Derulo
1062|Fireflies|Owl City
1063|Empire State of Mind|Jay-Z and Alicia Keys
1064|Tik Tok|Kesha
1065|Imma Be|The Black Eyed Peas
1066|Break Your Heart|Taio Cruz featuring Ludacris
1067|Rude Boy|Rihanna
1068|Nothin' on You|B.o.B featuring Bruno Mars
1069|OMG|Usher featuring will.i.am
1070|Not Afraid|Eminem
1071|OMG|Usher featuring will.i.am
1072|California Gurls|Katy Perry featuring Snoop Dogg
1073|Love the Way You Lie|Eminem featuring Rihanna
1074|Teenage Dream|Katy Perry
1075|Just the Way You Are|Bruno Mars
1076|Like a G6|Far East Movement featuring The Cataracs and Dev
1077|We R Who We R|Kesha
1078|What's My Name?|Rihanna featuring Drake
1079|Like a G6|Far East Movement featuring The Cataracs and Dev
1080|Only Girl (In the World)|Rihanna
1081|Raise Your Glass|Pink
1082|Firework|Katy Perry
1083|Firework|Katy Perry
1084|Grenade|Bruno Mars
1085|Firework|Katy Perry
1086|Grenade|Bruno Mars
1087|Hold It Against Me|Britney Spears
1088|Grenade|Bruno Mars
1089|Black and Yellow|Wiz Khalifa
1090|Born This Way|Lady Gaga
1091|E.T.|Katy Perry featuring Kanye West
1092|S&M|Rihanna featuring Britney Spears
1093|E.T.|Katy Perry featuring Kanye West
1094|Rolling in the Deep|Adele
1095|Give Me Everything|Pitbull featuring Ne-Yo, Afrojack and Nayer
1096|Party Rock Anthem|LMFAO featuring Lauren Bennett and GoonRock
1097|Last Friday Night (T.G.I.F.)|Katy Perry
1098|Moves Like Jagger|Maroon 5 featuring Christina Aguilera
1099|Someone Like You|Adele
1100|Moves Like Jagger|Maroon 5 featuring Christina Aguilera
1101|Someone Like You|Adele
1102|We Found Love|Rihanna featuring Calvin Harris
1103|Sexy and I Know It|LMFAO
1104|We Found Love|Rihanna featuring Calvin Harris
1105|Set Fire to the Rain|Adele
1106|Stronger (What Doesn't Kill You)|Kelly Clarkson
1107|Part of Me|Katy Perry
1108|Stronger (What Doesn't Kill You)|Kelly Clarkson
1109|We Are Young|Fun featuring Janelle Monáe
1110|Somebody That I Used to Know|Gotye featuring Kimbra
1111|Call Me Maybe|Carly Rae Jepsen
1112|Whistle|Flo Rida
1113|We Are Never Ever Getting Back Together|Taylor Swift
1114|Whistle|Flo Rida
1115|We Are Never Ever Getting Back Together|Taylor Swift
1116|One More Night|Maroon 5
1117|Diamonds|Rihanna
1118|Locked Out of Heaven|Bruno Mars
1119|Locked Out of Heaven|Bruno Mars
1120|Thrift Shop [4]|Macklemore & Ryan Lewis featuring Wanz
1121|Harlem Shake|Baauer
1122|Thrift Shop [4]|Macklemore & Ryan Lewis featuring Wanz
1123|When I Was Your Man|Bruno Mars
1124|Just Give Me a Reason|Pink featuring Nate Ruess
1125|Can't Hold Us|Macklemore & Ryan Lewis featuring Ray Dalton
1126|Blurred Lines|Robin Thicke featuring T.I. and Pharrell
1127|Roar|Katy Perry
1128|Wrecking Ball|Miley Cyrus
1129|Royals|Lorde
1130|Wrecking Ball|Miley Cyrus
1131|The Monster|Eminem featuring Rihanna
1132|The Monster|Eminem featuring Rihanna
1133|Timber|Pitbull featuring Kesha
1134|Dark Horse|Katy Perry featuring Juicy J
1135|Happy [1]|Pharrell Williams
1136|All of Me|John Legend
1137|Fancy|Iggy Azalea featuring Charli XCX
1138|Rude|Magic!
1139|Shake It Off|Taylor Swift
1140|All About That Bass|Meghan Trainor
1141|Shake It Off|Taylor Swift
1142|Blank Space|[100][6]
1143|Blank Space|Taylor Swift
1144|Uptown Funk|Mark Ronson featuring Bruno Mars
1145|See You Again|Wiz Khalifa featuring Charlie Puth
1146|Bad Blood|Taylor Swift featuring Kendrick Lamar
1147|See You Again|Wiz Khalifa featuring Charlie Puth
1148|Cheerleader|Omi
1149|Can't Feel My Face|The Weeknd
1150|Cheerleader|Omi
1151|Can't Feel My Face|The Weeknd
1152|What Do You Mean?|Justin Bieber
1153|Can't Feel My Face|The Weeknd
1154|The Hills|[81][82]
1155|Hello|Adele
1156|Hello|Adele
1157|Sorry|Justin Bieber
1158|Love Yourself|[15][16]
1159|Pillowtalk|Zayn
1160|Love Yourself|Justin Bieber
1161|Work|Rihanna featuring Drake
1162|Panda|Desiigner
1163|One Dance|Drake featuring Wizkid and Kyla
1164|Can't Stop the Feeling!|Justin Timberlake
1165|One Dance|Drake featuring Wizkid and Kyla
1166|Cheap Thrills|Sia featuring Sean Paul
1167|Closer|The Chainsmokers featuring Halsey
1168|Black Beatles|Rae Sremmurd featuring Gucci Mane
1169|Starboy|The Weeknd featuring Daft Punk
1170|Black Beatles|Rae Sremmurd featuring Gucci Mane
1171|Bad and Boujee|Migos featuring Lil Uzi Vert
1172|Shape of You|Ed Sheeran
1173|Bad and Boujee|Migos featuring Lil Uzi Vert
1174|Shape of You|Ed Sheeran
1175|Humble|Kendrick Lamar
1176|That's What I Like|Bruno Mars
1177|I'm the One|DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne
1178|Despacito|Luis Fonsi and Daddy Yankee featuring Justin Bieber
1179|Look What You Made Me Do|Taylor Swift
1180|Bodak Yellow|Cardi B
1181|Rockstar|Post Malone featuring 21 Savage
1182|Perfect|Ed Sheeran and Beyoncé
1183|Perfect|Ed Sheeran and Beyoncé
1184|Havana|Camila Cabello featuring Young Thug
1185|God's Plan|Drake
1186|Nice for What|[34][35]
1187|This Is America|Childish Gambino
1188|Nice for What|Drake
1189|Psycho|Post Malone featuring Ty Dolla Sign
1190|Nice for What|Drake
1191|Sad!|XXXTentacion
1192|I Like It|Cardi B, Bad Bunny and J Balvin
1193|Nice for What|Drake
1194|In My Feelings|[60][61]
1195|Girls Like You|Maroon 5 featuring Cardi B
1196|Thank U, Next|Ariana Grande
1197|Sicko Mode|Travis Scott
1198|Thank U, Next|Ariana Grande
1199|Thank U, Next|Ariana Grande
1200|Without Me|Halsey
1201|Sunflower|Post Malone and Swae Lee
1202|Without Me|Halsey
1203|7 Rings|Ariana Grande
1204|Shallow|Lady Gaga and Bradley Cooper
1205|Sucker|Jonas Brothers
1206|7 Rings|Ariana Grande
1207|Old Town Road|Lil Nas X
1208|Bad Guy|Billie Eilish
1209|Señorita|Shawn Mendes and Camila Cabello
1210|Truth Hurts|Lizzo
1211|Highest in the Room|Travis Scott
1212|Truth Hurts|Lizzo
1213|Someone You Loved|Lewis Capaldi
1214|Lose You to Love Me|Selena Gomez
1215|Someone You Loved|Lewis Capaldi
1216|Circles|Post Malone
1217|Heartless|The Weeknd
1218|All I Want for Christmas Is You|Mariah Carey
1219|All I Want for Christmas Is You|Mariah Carey
1220|Circles|Post Malone
1221|The Box|Roddy Ricch
1222|Blinding Lights|The Weeknd
1223|Toosie Slide|Drake
1224|Blinding Lights|The Weeknd
1225|The Scotts|The Scotts,[a] Travis Scott and Kid Cudi
1226|Say So|Doja Cat featuring Nicki Minaj
1227|Stuck with U|Ariana Grande and Justin Bieber
1228|Savage|Megan Thee Stallion featuring Beyoncé
1229|Rain on Me|Lady Gaga and Ariana Grande
1230|Rockstar|DaBaby featuring Roddy Ricch
1231|Trollz|6ix9ine and Nicki Minaj
1232|Rockstar|DaBaby featuring Roddy Ricch
1233|Cardigan|Taylor Swift
1234|Watermelon Sugar|Harry Styles
1235|WAP|Cardi B featuring Megan Thee Stallion
1236|Dynamite|BTS
1237|WAP|Cardi B featuring Megan Thee Stallion
1238|Dynamite|BTS
1239|Franchise|Travis Scott featuring Young Thug and M.I.A.
1240|Savage Love (Laxed – Siren Beat)|Jawsh 685, Jason Derulo and BTS
1241|Mood|24kGoldn featuring Iann Dior
1242|Positions|Ariana Grande
1243|Mood|24kGoldn featuring Iann Dior
1244|Life Goes On|BTS
1245|Mood|24kGoldn featuring Iann Dior
1246|All I Want for Christmas Is You|Mariah Carey
1247|Willow|Taylor Swift
1248|All I Want for Christmas Is You|Mariah Carey
1249|Mood|24kGoldn featuring Iann Dior
1250|Drivers License|Olivia Rodrigo
1251|What's Next|Drake
1252|Up|Cardi B
1253|Peaches|Justin Bieber featuring Daniel Caesar and Giveon
1254|Montero (Call Me by Your Name)|Lil Nas X
1255|Leave the Door Open|Silk Sonic (Bruno Mars and Anderson .Paak)[note 1]
1256|Rapstar|Polo G
1257|Save Your Tears|The Weeknd and Ariana Grande
1258|Leave the Door Open|Silk Sonic (Bruno Mars and Anderson .Paak)
1259|Good 4 U|Olivia Rodrigo
1260|Butter|BTS
1261|Permission to Dance|[61][62]
1262|Butter|[63][64]
1263|Stay|The Kid Laroi and Justin Bieber
1264|Butter|BTS
1265|Way 2 Sexy|Drake featuring Future and Young Thug
1266|Stay|The Kid Laroi and Justin Bieber
1267|My Universe|Coldplay and BTS
1268|Stay|The Kid Laroi and Justin Bieber
1269|Industry Baby|Lil Nas X and Jack Harlow
1270|Easy on Me|Adele
1271|All Too Well (Taylor's Version)|Taylor Swift
1272|Easy on Me|Adele
1273|All I Want for Christmas Is You|Mariah Carey
1274|All I Want for Christmas Is You|Mariah Carey
1275|Easy on Me|Adele
1276|We Don't Talk About Bruno|Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz,Diane Guerrero, Stephanie Beatriz and the Encanto cast
1277|Heat Waves|Glass Animals
1278|As It Was|Harry Styles
1279|First Class|Jack Harlow
1280|As It Was|Harry Styles
1281|Wait for U|Future featuring Drake and Tems
1282|First Class|Jack Harlow
1283|As It Was|Harry Styles
1284|Jimmy Cooks|Drake featuring 21 Savage
1285|As It Was|Harry Styles
1286|About Damn Time|Lizzo
1287|Break My Soul|Beyoncé
1288|Super Freaky Girl|Nicki Minaj
1289|As It Was|Harry Styles
1290|Bad Habit|Steve Lacy
