|Title|Artist
161|(You're My) Soul and Inspiration|The Righteous Brothers
162|Good Lovin'|The Young Rascals
163|Monday, Monday|The Mamas & the Papas
164|When a Man Loves a Woman|Percy Sledge
165|Paint It Black|The Rolling Stones
166|Paperback Writer|The Beatles
167|Strangers in the Night|Frank Sinatra
168|Paperback Writer|The Beatles
169|Hanky Panky|Tommy James and the Shondells
170|Wild Thing|The Troggs
171|Summer in the City|The Lovin' Spoonful
172|Sunshine Superman|Donovan
173|You Can't Hurry Love|The Supremes
174|Cherish|The Association
175|Reach Out I'll Be There|Four Tops
176|96 Tears|? and the Mysterians
177|Last Train to Clarksville|The Monkees
178|Poor Side of Town|Johnny Rivers
179|You Keep Me Hangin' On|The Supremes
180|Winchester Cathedral|The New Vaudeville Band
181|Good Vibrations|The Beach Boys
182|Winchester Cathedral|The New Vaudeville Band
183|I'm a Believer|The Monkees
184|I'm a Believer|The Monkees
185|Kind of a Drag|The Buckinghams
186|Ruby Tuesday|The Rolling Stones
187|Love Is Here and Now You're Gone|The Supremes
188|Penny Lane|The Beatles
189|Happy Together|The Turtles
190|Somethin' Stupid|Nancy Sinatra and Frank Sinatra
191|The Happening|The Supremes
192|Groovin'|The Young Rascals
193|Respect|Aretha Franklin
194|Groovin'|The Young Rascals
195|Windy|The Association
196|Light My Fire|The Doors
197|All You Need Is Love|The Beatles
198|Ode to Billie Joe|Bobbie Gentry
199|The Letter|The Box Tops
200|To Sir With Love|Lulu
201|Incense and Peppermints|Strawberry Alarm Clock
202|Daydream Believer|The Monkees
203|Hello, Goodbye|The Beatles
204|Hello, Goodbye|The Beatles
205|Judy in Disguise (With Glasses)|John Fred and His Playboy Band
206|Green Tambourine|The Lemon Pipers
207|Love is Blue|Paul Mauriat
208|(Sittin' On) The Dock of the Bay|Otis Redding
209|Honey|Bobby Goldsboro
210|Tighten Up|Archie Bell & the Drells
211|Mrs. Robinson|Simon & Garfunkel
212|This Guy's in Love with You|Herb Alpert
213|Grazing in the Grass|Hugh Masekela
214|Hello, I Love You|The Doors
215|People Got to Be Free|The Rascals
216|Harper Valley PTA|Jeannie C. Riley
217|Hey Jude|The Beatles
218|Love Child|Diana Ross & the Supremes
219|I Heard It Through the Grapevine|Marvin Gaye
220|I Heard It Through the Grapevine|Marvin Gaye
221|Crimson and Clover|Tommy James and the Shondells
222|Everyday People|Sly & the Family Stone
223|Dizzy|Tommy Roe
224|Aquarius/Let the Sunshine In|The 5th Dimension
225|Get Back|The Beatles with Billy Preston
226|Love Theme from Romeo and Juliet|Henry Mancini
227|In the Year 2525|Zager and Evans
228|Honky Tonk Women|The Rolling Stones
229|Sugar, Sugar|The Archies
230|I Can't Get Next to You|The Temptations
231|Suspicious Minds|Elvis Presley
232|Wedding Bell Blues|The 5th Dimension
233|Come Together / Something|The Beatles
234|Na Na Hey Hey Kiss Him Goodbye|Steam
235|Leaving on a Jet Plane|Peter, Paul and Mary
236|Someday We'll Be Together|Diana Ross & the Supremes
237|Raindrops Keep Fallin' on My Head|B. J. Thomas
238|I Want You Back|The Jackson 5
239|Venus|Shocking Blue
240|Thank You (Falettinme Be Mice Elf Agin) / Everybody Is a Star|Sly & the Family Stone
241|Bridge over Troubled Water|Simon & Garfunkel
242|Let It Be|The Beatles
243|ABC|The Jackson 5
244|American Woman / No Sugar Tonight|The Guess Who
245|Everything Is Beautiful|Ray Stevens
246|The Long and Winding Road / For You Blue|The Beatles
247|The Love You Save|The Jackson 5
248|Mama Told Me (Not to Come)|Three Dog Night
249|(They Long to Be) Close to You|The Carpenters
250|Make It with You|Bread
251|War|Edwin Starr
252|Ain't No Mountain High Enough|Diana Ross
253|Cracklin' Rosie|Neil Diamond
254|I'll Be There|The Jackson 5
255|I Think I Love You|The Partridge Family
